text,label
<MASK>は、おまえの声をよく聞く<MASK>だよ。,あれは、おまえの声をよく聞く理由だよ。
クラスの<MASK>の<MASK>は３０<MASK>です。,クラスの少年の数は３０人です。
<MASK>は歴史の<MASK>を<MASK>なくてはならない。,明日は歴史の試験を受けなくてはならない。
私の<MASK>に<MASK>ですか。,私の計画に反対ですか。
１<MASK>分の自由に使えるお金を先にあげておく。,１年分の自由に使えるお金を先にあげておく。
子供たちを<MASK>に連れて<MASK>た。,子供たちを学校に連れて行った。
父は<MASK>家にいるだろう。,父は今家にいるだろう。
<MASK>は前は思いのままにお金を<MASK>た。,彼は前は思いのままにお金を使った。
<MASK>たちはロンドンでお互いを知った。,私たちはロンドンでお互いを知った。
ここでは<MASK>にしていいですよ。,ここでは自由にしていいですよ。
１<MASK>の<MASK>をとった。,１週間の休みをとった。
<MASK>は、<MASK>の言葉もわからなかった。,彼女は、少しの言葉もわからなかった。
<MASK>のことを<MASK>ているの？,何のことを言っているの？
何の<MASK>を言っているの？,何の事を言っているの？
<MASK>は私を<MASK>ている。,彼は私を頼っている。
<MASK>はアメリカの<MASK>と結婚<MASK>ている。,彼はアメリカの女性と結婚している。
<MASK>は<MASK>でも、知っているように見せる。,彼は何でも、知っているように見せる。
ジョンは駅の<MASK>へと<MASK>ている。,ジョンは駅の方へと歩いている。
そんなに怒る<MASK>はない。,そんなに怒る必要はない。
後で、すぐに<MASK>するわ。,後で、すぐに電話するわ。
<MASK>をもっと食べてください。,ケーキをもっと食べてください。
私には外国人の友達<MASK>二人います。,私には外国人の友達が二人います。
この２つから<MASK>なさい。,この２つから選びなさい。
その家はかなり<MASK>なっている。,その家はかなり古くなっている。
私は<MASK>坂<MASK><MASK>ました<MASK>、東京<MASK>生活<MASK>ました。,私は大坂で生まれましたが、東京で生活しました。
月曜日までにこの<MASK>を<MASK>せてください。,月曜日までにこの仕事を終わらせてください。
あの家はまだ<MASK>人<MASK>いない。,あの家はまだ買う人がいない。
戦争<MASK>起こるかもしれない。,戦争が起こるかもしれない。
起きてみる<MASK>彼女は<MASK>にいた。,起きてみると彼女は病院にいた。
それはこっちの<MASK>ですよ。,それはこっちの言葉ですよ。
<MASK>はこっちのセリフですよ。,あれはこっちのセリフですよ。
大阪には<MASK>やって<MASK>んですか。,大阪にはどうやって行くんですか。
<MASK>は彼女の合格を喜んだ。,私は彼女の合格を喜んだ。
<MASK>ゆっくり言ってください。,もっとゆっくり言ってください。
お<MASK><MASK>てください。,お会計してください。
我々は上のほう<MASK>叫び声がするのを耳にした。,我々は上のほうで叫び声がするのを耳にした。
<MASK>ねばならない<MASK><MASK>あります。,書かねばならない手紙があります。
その<MASK>は５０<MASK>でした。,その帽子は５０ドルでした。
<MASK>帽子は５０ドルでした。,あの帽子は５０ドルでした。
中国人は朝食に<MASK>を<MASK>ますか。,中国人は朝食に何を食べますか。
彼はあなたにここにいてもらいたいと<MASK>ている。,彼はあなたにここにいてもらいたいと思っている。
彼は<MASK>を<MASK>べきであったのに。,彼は試験を受けるべきであったのに。
私の兄は<MASK>事故で<MASK>だ。,私の兄は交通事故で死んだ。
この<MASK>は<MASK>なので子供にもできる。,この仕事は簡単なので子供にもできる。
この<MASK>に全く新しいものなし。,この世界に全く新しいものなし。
<MASK>は先生の<MASK>を<MASK>にした。,彼は先生の注意を大切にした。
私はその事実を<MASK>ていましたよ。,私はその事実を知っていましたよ。
私は<MASK>事実を知っていましたよ。,私はそんな事実を知っていましたよ。
